MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
2363 (x: 12, y: 47, z: 0)
2364 (x: 13, y: 47, z: 0)
2365 (x: 14, y: 47, z: 0)
2366 (x: 15, y: 47, z: 0)
2367 (x: 16, y: 47, z: 0)
2368 (x: 17, y: 47, z: 0)
2369 (x: 18, y: 47, z: 0)
2370 (x: 19, y: 47, z: 0)
2371 (x: 20, y: 47, z: 0)
2372 (x: 21, y: 47, z: 0)
2373 (x: 22, y: 47, z: 0)
2374 (x: 23, y: 47, z: 0)
2375 (x: 24, y: 47, z: 0)
2376 (x: 25, y: 47, z: 0)
2377 (x: 26, y: 47, z: 0)
2378 (x: 27, y: 47, z: 0)
2379 (x: 28, y: 47, z: 0)
2380 (x: 29, y: 47, z: 0)
2381 (x: 30, y: 47, z: 0)
2382 (x: 31, y: 47, z: 0)
2383 (x: 32, y: 47, z: 0)
2384 (x: 33, y: 47, z: 0)
2385 (x: 34, y: 47, z: 0)
2386 (x: 35, y: 47, z: 0)
2387 (x: 36, y: 47, z: 0)
2388 (x: 37, y: 47, z: 0)
2389 (x: 38, y: 47, z: 0)
2390 (x: 39, y: 47, z: 0)
2391 (x: 40, y: 47, z: 0)
2392 (x: 41, y: 47, z: 0)
2393 (x: 42, y: 47, z: 0)
2394 (x: 43, y: 47, z: 0)
2395 (x: 44, y: 47, z: 0)
2396 (x: 45, y: 47, z: 0)
2397 (x: 46, y: 47, z: 0)
2398 (x: 47, y: 47, z: 0)
2399 (x: 48, y: 47, z: 0)
2400 (x: 49, y: 47, z: 0)
2350 (x: 49, y: 46, z: 0)
2349 (x: 48, y: 46, z: 0)
2348 (x: 47, y: 46, z: 0)
2347 (x: 46, y: 46, z: 0)
2346 (x: 45, y: 46, z: 0)
2345 (x: 44, y: 46, z: 0)
2344 (x: 43, y: 46, z: 0)
2343 (x: 42, y: 46, z: 0)
2342 (x: 41, y: 46, z: 0)
2341 (x: 40, y: 46, z: 0)
2340 (x: 39, y: 46, z: 0)
2339 (x: 38, y: 46, z: 0)
2338 (x: 37, y: 46, z: 0)
2337 (x: 36, y: 46, z: 0)
2336 (x: 35, y: 46, z: 0)
2335 (x: 34, y: 46, z: 0)
2334 (x: 33, y: 46, z: 0)
2333 (x: 32, y: 46, z: 0)
2332 (x: 31, y: 46, z: 0)
2331 (x: 30, y: 46, z: 0)
2330 (x: 29, y: 46, z: 0)
2329 (x: 28, y: 46, z: 0)
2328 (x: 27, y: 46, z: 0)
2327 (x: 26, y: 46, z: 0)
2326 (x: 25, y: 46, z: 0)
2325 (x: 24, y: 46, z: 0)
2324 (x: 23, y: 46, z: 0)
2323 (x: 22, y: 46, z: 0)
2322 (x: 21, y: 46, z: 0)
2321 (x: 20, y: 46, z: 0)
2320 (x: 19, y: 46, z: 0)
2319 (x: 18, y: 46, z: 0)
2318 (x: 17, y: 46, z: 0)
2317 (x: 16, y: 46, z: 0)
2316 (x: 15, y: 46, z: 0)
2315 (x: 14, y: 46, z: 0)
2314 (x: 13, y: 46, z: 0)
2313 (x: 12, y: 46, z: 0)
2312 (x: 11, y: 46, z: 0)
2311 (x: 10, y: 46, z: 0)
2310 (x: 9, y: 46, z: 0)
2309 (x: 8, y: 46, z: 0)
2308 (x: 7, y: 46, z: 0)
2307 (x: 6, y: 46, z: 0)
2306 (x: 5, y: 46, z: 0)
2305 (x: 4, y: 46, z: 0)
2304 (x: 3, y: 46, z: 0)
2303 (x: 2, y: 46, z: 0)
2302 (x: 1, y: 46, z: 0)
2252 (x: 1, y: 45, z: 0)
2253 (x: 2, y: 45, z: 0)
2254 (x: 3, y: 45, z: 0)
2255 (x: 4, y: 45, z: 0)
2256 (x: 5, y: 45, z: 0)
2257 (x: 6, y: 45, z: 0)
2258 (x: 7, y: 45, z: 0)
2259 (x: 8, y: 45, z: 0)
2260 (x: 9, y: 45, z: 0)
2261 (x: 10, y: 45, z: 0)
2262 (x: 11, y: 45, z: 0)
2263 (x: 12, y: 45, z: 0)
2264 (x: 13, y: 45, z: 0)
2265 (x: 14, y: 45, z: 0)
2266 (x: 15, y: 45, z: 0)
2267 (x: 16, y: 45, z: 0)
2268 (x: 17, y: 45, z: 0)
2269 (x: 18, y: 45, z: 0)
2270 (x: 19, y: 45, z: 0)
2271 (x: 20, y: 45, z: 0)
2272 (x: 21, y: 45, z: 0)
2273 (x: 22, y: 45, z: 0)
2274 (x: 23, y: 45, z: 0)
2275 (x: 24, y: 45, z: 0)
2276 (x: 25, y: 45, z: 0)
2277 (x: 26, y: 45, z: 0)
